rank,filename,similarity,file
1,06-الاستشهاد-بالقبائل-وإعلان-البأس-والقصاص_SONG_A.mp3,0.9503546,/content/SUNO_BACKUP_11082026/muallaqat_aassha_21082026/06-الاستشهاد-بالقبائل-وإعلان-البأس-والقصاص_SONG_A.mp3
2,04-تأمل-محاسن-الحبيبة-والجمال-المترف_SONG_B.mp3,0.94501424,/content/SUNO_BACKUP_11082026/im_qais_20082026/04-تأمل-محاسن-الحبيبة-والجمال-المترف_SONG_B.mp3
3,03-وصف-الروضة-المطيرة-ومقارنة-السرج-بالحشايا_SONG_A.mp3,0.9412538,/content/SUNO_BACKUP_11082026/antara_13082026/03-وصف-الروضة-المطيرة-ومقارنة-السرج-بالحشايا_SONG_A.mp3
4,06-فلسفة-الحياة-والموت-واللذات-الثلاث_SONG_A.mp3,0.94110143,/content/SUNO_BACKUP_11082026/tarafa_23072026/06-فلسفة-الحياة-والموت-واللذات-الثلاث_SONG_A.mp3
5,07-استبسال-الدروع-وحماية-الحرائر_SONG_A.mp3,0.93528354,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_24072026/07-استبسال-الدروع-وحماية-الحرائر_SONG_A.mp3
6,02-حكمة-التجلد-وحتمية-الردى_SONG_B.mp3,0.9308938,/content/SUNO_BACKUP_11082026/amin_almanoon_19082026/02-حكمة-التجلد-وحتمية-الردى_SONG_B.mp3
7,02-ملحمة-فتح-الفتوح-وعذراء-الحصون_SONG_A.mp3,0.930766,/content/SUNO_BACKUP_11082026/New_Abu_Tammam_16082026/02-ملحمة-فتح-الفتوح-وعذراء-الحصون_SONG_A.mp3
8,02-استحضار-عهد-الوصل-ومخاطبة-الصبا-والبرق_SONG_B.mp3,0.93017423,/content/SUNO_BACKUP_11082026/ibn_zaydoon_adha_21082026/02-استحضار-عهد-الوصل-ومخاطبة-الصبا-والبرق_SONG_B.mp3
9,القسم 5  القسم والاعتذار مقام نهاوند_SONG_A.mp3,0.92780966,/content/SUNO_BACKUP_11082026/nabigah_19072026/القسم 5  القسم والاعتذار مقام نهاوند_SONG_A.mp3
10,04-وصف-محاسن-الحبيبة-والجمال_SONG_A.mp3,0.9273,/content/SUNO_BACKUP_11082026/qais_24072026/04-وصف-محاسن-الحبيبة-والجمال_SONG_A.mp3
11,01-نار-ليلى-في-ثمدين-واسترجاع-الخوالي_SONG_B.mp3,0.92727685,/content/SUNO_BACKUP_11082026/majnoon_layla_18082026/01-نار-ليلى-في-ثمدين-واسترجاع-الخوالي_SONG_B.mp3
12,01-العذل-والمطامع-وفلسفة-الرزق_SONG_B.mp3,0.92506504,/content/SUNO_BACKUP_11082026/ibn_zuraiq_20082026/01-العذل-والمطامع-وفلسفة-الرزق_SONG_B.mp3
13,03-ربيع-الديار-ومفارقة-الدعة-إلى-السرى_SONG_A.mp3,0.92450863,/content/SUNO_BACKUP_11082026/muallaqt_antra_21082026/03-ربيع-الديار-ومفارقة-الدعة-إلى-السرى_SONG_A.mp3
14,06-قرى-الذئب-وذروة-عزة-النفس_SONG_A.mp3,0.9217299,/content/SUNO_BACKUP_11082026/ara_alanqaa_18082026/06-قرى-الذئب-وذروة-عزة-النفس_SONG_A.mp3
15,02-حكمة-التجلد-وعزاء-الفناء-المشترك_SONG_A.mp3,0.92122084,/content/SUNO_BACKUP_11082026/amin_almanoon_17082026/02-حكمة-التجلد-وعزاء-الفناء-المشترك_SONG_A.mp3
16,02-ذكرى-ليلة-الفراق-وطيب-عبلة-المعطار_SONG_B.mp3,0.92105585,/content/SUNO_BACKUP_11082026/muallaqt_antra_21082026/02-ذكرى-ليلة-الفراق-وطيب-عبلة-المعطار_SONG_B.mp3
17,02-ملحمة-فتح-الفتوح-وعذراء-الحصون_SONG_B.mp3,0.92062604,/content/SUNO_BACKUP_11082026/New_Abu_Tammam_16082026/02-ملحمة-فتح-الفتوح-وعذراء-الحصون_SONG_B.mp3
18,10-اعتذار-الرحيل-وخاتمة-المجد-واللذة-الشريفة_SONG_B.mp3,0.91868234,/content/SUNO_BACKUP_11082026/antara_13082026/10-اعتذار-الرحيل-وخاتمة-المجد-واللذة-الشريفة_SONG_B.mp3
19,01-العذل-ومكابدة-الاغتراب-وفلسفة-الرزق_SONG_A.mp3,0.918617,/content/SUNO_BACKUP_11082026/ibn_zuraiq_20082026/01-العذل-ومكابدة-الاغتراب-وفلسفة-الرزق_SONG_A.mp3
20,02-يوم-دارة-جلجل-ومغامرات-الشباب_SONG_A.mp3,0.9181566,/content/SUNO_BACKUP_11082026/im_qais_20082026/02-يوم-دارة-جلجل-ومغامرات-الشباب_SONG_A.mp3
